Date,Open,High,Low,Close,Adj Close,Volume
"Dec 19, 2025",38.44,38.71,38.4,38.6,38.6,30036600
"Dec 18, 2025",38.34,38.49,38.18,38.21,38.21,31528300
"Dec 17, 2025",38.32,38.4,37.85,37.85,37.85,36203400
"Dec 16, 2025",0.416 Dividend,0.416 Dividend,0.416 Dividend,0.416 Dividend,0.416 Dividend,0.416 Dividend
"Dec 16, 2025",37.86,37.98,37.68,37.96,37.96,42610700
"Dec 15, 2025",39.01,39.03,38.71,38.74,38.32,39067000
"Dec 12, 2025",39.43,39.52,38.9,39.08,38.66,29147000
"Dec 11, 2025",39,39.25,38.86,39.19,38.77,17964700
"Dec 10, 2025",38.97,39.24,38.89,39.09,38.67,26145600
"Dec 9, 2025",38.72,38.88,38.65,38.82,38.4,40304100
"Dec 8, 2025",39.52,39.53,39.29,39.47,39.05,27835900
"Dec 5, 2025",39.91,40.01,39.79,39.89,39.46,30296800
"Dec 4, 2025",39.37,39.4,39.21,39.31,38.89,17482200
"Dec 3, 2025",38.97,39.22,38.94,39.21,38.79,27072600
"Dec 2, 2025",39.53,39.54,39.27,39.49,39.07,16635200
"Dec 1, 2025",39.49,39.82,39.48,39.64,39.21,20355200
"Nov 28, 2025",39.43,39.62,39.41,39.53,39.11,11699800
"Nov 26, 2025",39.45,39.61,38.89,39.37,38.95,30425300
"Nov 25, 2025",39.68,39.73,39.44,39.6,39.17,30123900
"Nov 24, 2025",39.11,39.39,39.08,39.35,38.93,34365500
"Nov 21, 2025",38.3,38.91,38.15,38.72,38.3,38856600
"Nov 20, 2025",39.29,39.45,38.56,38.58,38.17,38244300
"Nov 19, 2025",39.25,39.32,39.01,39.11,38.69,32477700
"Nov 18, 2025",39.22,39.63,39.18,39.51,39.09,32116600
"Nov 17, 2025",39.84,40.05,39.53,39.67,39.24,33870400
"Nov 14, 2025",40.14,40.57,39.89,40.12,39.69,44898700
"Nov 13, 2025",41.19,41.22,40.5,40.65,40.21,30309900
"Nov 12, 2025",40.95,40.96,40.7,40.91,40.47,20611900
"Nov 11, 2025",40.83,40.94,40.72,40.76,40.32,21097200
"Nov 10, 2025",40.59,40.8,40.43,40.76,40.32,35660200
"Nov 7, 2025",39.66,39.96,39.48,39.94,39.51,28679700
"Nov 6, 2025",40.29,40.48,39.99,40.14,39.71,31541500
"Nov 5, 2025",39.55,39.87,39.5,39.77,39.34,19156100
"Nov 4, 2025",39.38,39.67,39.28,39.37,38.95,23252400
"Nov 3, 2025",39.88,39.9,39.64,39.83,39.4,21839200
"Oct 31, 2025",39.53,39.8,39.36,39.71,39.28,32012200
"Oct 30, 2025",40.18,40.4,40.07,40.15,39.72,35664700
"Oct 29, 2025",41.14,41.24,40.74,40.97,40.53,32970500
"Oct 28, 2025",40.67,40.91,40.56,40.86,40.42,28787100
"Oct 27, 2025",41.12,41.18,41.01,41.08,40.64,27399000
"Oct 24, 2025",40.66,40.7,40.51,40.55,40.11,20969600
"Oct 23, 2025",40.2,40.59,40.15,40.41,39.98,30021800
"Oct 22, 2025",39.78,40.01,39.39,39.74,39.31,25768600
"Oct 21, 2025",40.11,40.12,39.88,39.94,39.51,35064300
"Oct 20, 2025",39.91,40.56,39.84,40.49,40.06,40080900
"Oct 17, 2025",39.41,40.06,39.38,40,39.57,43076800
"Oct 16, 2025",40.05,40.26,39.87,39.99,39.56,25051400
"Oct 15, 2025",39.86,40.03,39.53,39.8,39.37,29502800
"Oct 14, 2025",39.08,39.77,39.02,39.4,38.98,41027800
"Oct 13, 2025",39.75,39.8,39.42,39.53,39.11,71314400
"Oct 10, 2025",40.43,40.7,38.12,38.33,37.92,146013600
"Oct 9, 2025",41.13,41.15,40.41,40.51,40.07,45824800
"Oct 8, 2025",40.93,41.07,40.74,41.05,40.61,25431600
"Oct 7, 2025",41.47,41.49,40.85,40.93,40.49,26990100
"Oct 6, 2025",41.2,41.55,41.17,41.4,40.96,16610900
"Oct 3, 2025",41.57,41.63,41.33,41.42,40.98,24482200
"Oct 2, 2025",41.93,42,41.66,41.75,41.3,32022400
"Oct 1, 2025",41.2,41.43,41.15,41.38,40.94,26764900
"Sep 30, 2025",41.36,41.41,41.03,41.14,40.7,29827500
"Sep 29, 2025",40.98,41.09,40.86,40.98,40.54,24254300
"Sep 26, 2025",40.26,40.41,40.1,40.33,39.9,21841300
"Sep 25, 2025",40.67,40.76,40.46,40.67,40.23,21546900
"Sep 24, 2025",40.56,40.83,40.49,40.57,40.13,35307500
"Sep 23, 2025",40.3,40.44,40.1,40.1,39.67,23445400
"Sep 22, 2025",40.7,40.8,40.55,40.65,40.21,25541100
"Sep 19, 2025",41.18,41.37,40.93,40.93,40.49,33890200
"Sep 18, 2025",40.95,41.21,40.88,41.08,40.64,36182900
"Sep 17, 2025",41.64,41.73,41.34,41.62,41.17,34303200
"Sep 16, 2025",40.66,41.1,40.55,41.05,40.61,23170800
