Date,Close
2010-02-05,51.35
2010-02-08,48.21
2010-02-09,48.58
2010-02-10,48.06
2010-02-11,48.5
2010-02-15,47.97
2010-02-16,48.88
2010-02-17,49.41
2010-02-18,49.1
2010-02-19,48.63
2010-02-22,49
2010-02-23,49.37
2010-02-24,48.71
2010-02-25,48.96
2010-02-26,49.35
2010-03-02,50.38
2010-03-03,50.95
2010-03-04,51.01
2010-03-05,51.01
2010-03-08,51.28
2010-03-09,51.06
2010-03-10,51.4
2010-03-11,51.56
2010-03-12,51.47
2010-03-15,51.4
2010-03-16,52.21
2010-03-17,52.58
2010-03-18,52.49
2010-03-19,52.83
2010-03-22,52.32
2010-03-23,52.42
2010-03-25,52.76
2010-03-26,52.92
2010-03-29,52.89
2010-03-30,52.94
2010-03-31,52.62
2010-04-01,53.08
2010-04-05,53.72
2010-04-06,53.4
2010-04-07,53.43
2010-04-08,53.15
2010-04-09,53.29
2010-04-12,53.1
2010-04-13,53.1
2010-04-15,52.94
2010-04-16,52.5
2010-04-19,52.22
2010-04-20,52.17
2010-04-21,52.37
2010-04-22,52.74
2010-04-23,53.08
2010-04-26,52.6
2010-04-27,53
2010-04-28,52.13
2010-04-29,52.35
2010-04-30,52.4
2010-05-03,52.15
2010-05-04,51.46
2010-05-05,51.47
2010-05-06,51.08
2010-05-07,50.31
2010-05-10,51.96
2010-05-11,51.37
2010-05-12,51.33
2010-05-13,51.85
2010-05-14,51.12
2010-05-17,51.07
2010-05-18,50.88
2010-05-19,50.31
2010-05-20,50.46
2010-05-21,49.9
2010-05-24,50.09
2010-05-25,49.15
2010-05-26,49.59
2010-05-27,49.8
2010-05-28,50.51
2010-05-31,50.63
2010-06-01,50
2010-06-02,50.42
2010-06-03,50.99
2010-06-04,52.03
2010-06-07,50.49
2010-06-08,50.1
2010-06-09,50.24
2010-06-10,51.21
2010-06-11,51.39
2010-06-14,51.99
2010-06-15,52.33
2010-06-16,52.28
2010-06-17,52.71
2010-06-18,52.8
2010-06-21,53.52
2010-06-22,53.54
2010-06-23,53.54
2010-06-24,53.24
2010-06-25,53.38
2010-06-28,52.99
2010-06-29,52.92
2010-06-30,53.28
2010-07-01,52.56
2010-07-02,52.56
2010-07-05,52.87
2010-07-06,52.96
2010-07-07,52.51
2010-07-08,53.02
2010-07-09,53.51
2010-07-12,53.58
2010-07-13,54.44
2010-07-14,54.01
2010-07-15,54
2010-07-16,53.81
2010-07-19,53.67
2010-07-20,53.83
2010-07-21,53.9
2010-07-22,54.06
2010-07-23,54.42
2010-07-26,54.13
2010-07-27,54.79
2010-07-28,54.42
2010-07-29,54.44
2010-07-30,54.19
2010-08-02,54.67
2010-08-03,54.5
2010-08-04,54.5
2010-08-05,55.29
2010-08-06,54.82
2010-08-09,54.96
2010-08-10,54.55
2010-08-11,54.71
2010-08-12,54.67
2010-08-13,54.5
2010-08-16,54.21
2010-08-17,54.09
2010-08-18,54.63
2010-08-19,55.03
2010-08-20,55.43
2010-08-23,55.93
2010-08-24,55.63
2010-08-25,55.1
2010-08-26,54.47
2010-08-27,54.41
2010-08-30,54.33
2010-08-31,53.9
2010-09-01,54.5
2010-09-02,54.77
2010-09-03,55
2010-09-06,55.47
2010-09-07,55.7
2010-09-08,56.4
2010-09-09,56.13
2010-09-13,57.52
2010-09-14,58.03
2010-09-15,58.45
2010-09-16,58.5
2010-09-17,59.07
2010-09-20,59.87
2010-09-21,60.44
2010-09-22,59.55
2010-09-23,59.99
2010-09-24,60.02
2010-09-27,60.99
2010-09-28,60.2
2010-09-29,60.62
2010-09-30,60.1
2010-10-01,61.47
2010-10-04,61.69
2010-10-05,62.12
2010-10-06,55.33
2010-10-07,61.62
2010-10-08,61.22
2010-10-11,61.8
2010-10-12,61.21
2010-10-13,62.48
2010-10-14,61.94
2010-10-15,61.17
2010-10-18,60.74
2010-10-19,60.42
2010-10-20,60.12
2010-10-21,61.31
2010-10-22,60.71
2010-10-25,61.68
2010-10-26,61.18
2010-10-27,60.67
2010-10-28,60.7
2010-10-29,60.2
2010-11-01,62.14
2010-11-02,61.49
2010-11-03,62.27
2010-11-04,63.15
2010-11-08,63.56
2010-11-09,63.81
2010-11-10,63.36
2010-11-11,62.65
2010-11-12,62.65
2010-11-15,61.88
2010-11-16,60.54
2010-11-18,60.84
2010-11-19,60.58
2010-11-22,61.2
2010-11-23,60.58
