Date,Open,High,Low,Close,Adj Close,Volume
"Dec 19, 2025",59.79,61.16,59.69,60.93,60.93,42610000
"Dec 18, 2025",59.82,60.03,58.58,59.32,59.32,47603400
"Dec 17, 2025",59.27,60.64,59.05,60.26,60.26,65128000
"Dec 16, 2025",57.61,57.99,57.1,57.73,57.73,32461300
"Dec 15, 2025",57.84,58.2,57.02,58.11,58.11,43227800
"Dec 12, 2025",58.53,58.56,55.13,56.1,56.1,78667400
"Dec 11, 2025",56.77,58.3,56.47,57.62,57.62,67910900
"Dec 10, 2025",55.13,56.22,54.48,56.07,56.07,54915000
"Dec 9, 2025",53.39,55.19,53.36,55.17,55.17,59738900
"Dec 8, 2025",52.89,52.97,52.26,52.71,52.71,19711200
"Dec 5, 2025",52.71,53.82,52.53,52.95,52.95,43566000
"Dec 4, 2025",52.28,52.36,51.14,51.76,51.76,48740300
"Dec 3, 2025",52.99,53.39,52.42,53.07,53.07,33817700
"Dec 2, 2025",52.83,53.2,51.77,53.13,53.13,43952700
"Dec 1, 2025",51.99,53.36,51.61,52.52,52.52,66064100
"Nov 28, 2025",49.67,51.27,49.58,51.21,51.21,41350000
"Nov 26, 2025",47.31,48.45,47.15,48.4,48.4,26280300
"Nov 25, 2025",46.55,46.77,45.97,46.67,46.67,24006600
"Nov 24, 2025",45.41,46.64,45.36,46.63,46.63,21486800
"Nov 21, 2025",44.9,45.95,44.76,45.3,45.3,26351900
"Nov 20, 2025",46.26,46.64,45.54,45.78,45.78,28460400
"Nov 19, 2025",46.8,47.5,45.69,46.45,46.45,30797100
"Nov 18, 2025",45.87,46.44,45.59,46.1,46.1,20909400
"Nov 17, 2025",45.81,46.26,44.95,45.47,45.47,23582000
"Nov 14, 2025",45.77,46.71,45.4,45.96,45.96,31793500
"Nov 13, 2025",48.29,48.42,47.21,47.42,47.42,39328400
"Nov 12, 2025",47.1,48.7,46.89,48.32,48.32,51559700
"Nov 11, 2025",46.28,46.48,45.6,46.45,46.45,19693700
"Nov 10, 2025",45.17,45.87,45.01,45.79,45.79,20763800
"Nov 7, 2025",44.02,44.23,43.51,43.92,43.92,16493100
"Nov 6, 2025",43.66,43.9,43.24,43.55,43.55,15957900
"Nov 5, 2025",43.49,43.79,43.35,43.65,43.65,16178500
"Nov 4, 2025",43.04,43.44,42.51,42.74,42.74,26679100
"Nov 3, 2025",44.25,44.36,43.56,43.76,43.76,17946700
"Oct 31, 2025",44.48,44.52,43.89,44.01,44.01,21310900
"Oct 30, 2025",43.68,44.44,43.54,44.34,44.34,30333200
"Oct 29, 2025",43.84,43.94,42.83,43.23,43.23,27351700
"Oct 28, 2025",42.36,42.91,42.23,42.7,42.7,27782000
"Oct 27, 2025",42.97,43.06,41.7,42.4,42.4,42914100
"Oct 24, 2025",44.08,44.39,43.84,43.99,43.99,24014000
"Oct 23, 2025",44.72,44.87,44.17,44.18,44.18,24565600
"Oct 22, 2025",43.74,44.13,43.28,43.88,43.88,43270000
"Oct 21, 2025",45.19,45.38,43.31,43.79,43.79,81395300
"Oct 20, 2025",47.76,47.83,47.06,47.72,47.72,35933500
"Oct 17, 2025",48.46,48.59,45.88,46.99,46.99,86492600
"Oct 16, 2025",48.1,49.25,48,49.17,49.17,48853000
"Oct 15, 2025",47.75,48.41,47.42,48.33,48.33,41672900
"Oct 14, 2025",45.99,47.26,45.77,46.8,46.8,57821500
"Oct 13, 2025",46.94,47.44,46.58,47.26,47.26,57830400
"Oct 10, 2025",45.48,46,44.88,45.43,45.43,67017000
"Oct 9, 2025",46.27,46.35,42.81,44.71,44.71,110701700
"Oct 8, 2025",44.43,45.01,44.28,44.56,44.56,59455700
"Oct 7, 2025",43.97,43.99,42.95,43.39,43.39,42769100
"Oct 6, 2025",44.01,44.26,43.89,44.06,44.06,34114000
"Oct 3, 2025",43.33,43.95,43.05,43.52,43.52,47523500
"Oct 2, 2025",43.57,43.59,41.66,42.53,42.53,58242300
"Oct 1, 2025",43.03,43.4,42.87,42.91,42.91,44341800
"Sep 30, 2025",41.79,42.46,41.7,42.37,42.37,34884200
"Sep 29, 2025",42.46,42.75,42.18,42.5,42.5,41290300
"Sep 26, 2025",41.23,42.33,41.09,41.86,41.86,44578500
