Date,Close
2007-07-26,47.9
2007-07-27,47.17
2007-07-30,47.96
2007-07-31,47.9
2007-08-01,48.1
2007-08-02,47.96
2007-08-03,47.17
2007-08-06,47.89
2007-08-07,47.96
2007-08-08,48.68
2007-08-09,47.22
2007-08-10,46.59
2007-08-13,46.67
2007-08-14,46.07
2007-08-15,44.98
2007-08-16,44.77
2007-08-17,45.4
2007-08-20,45.46
2007-08-21,45.45
2007-08-22,46.59
2007-08-23,46.79
2007-08-24,47.54
2007-08-27,47.07
2007-08-28,45.92
2007-08-29,47.14
2007-08-30,46.8
2007-08-31,47.86
2007-09-04,48.09
2007-09-05,47.26
2007-09-06,47.54
2007-09-07,46.88
2007-09-10,46.69
2007-09-11,47.53
2007-09-12,47.49
2007-09-13,47.75
2007-09-14,47.53
2007-09-17,46.86
2007-09-18,48.35
2007-09-19,48.86
2007-09-20,48.76
2007-09-21,49.11
2007-09-24,49.06
2007-09-25,49.3
2007-09-26,49.48
2007-09-27,50.07
2007-09-28,50.14
2007-10-01,50.86
2007-10-02,50.7
2007-10-03,50.42
2007-10-04,50.64
2007-10-05,51.13
2007-10-08,50.64
2007-10-09,51.27
2007-10-10,51.12
2007-10-11,51.37
2007-10-12,51.52
2007-10-15,51.08
2007-10-16,50.38
2007-10-17,50.9
2007-10-18,51.02
2007-10-19,49.95
2007-10-22,49.78
2007-10-23,50.6
2007-10-24,50.44
2007-10-25,50.62
2007-10-26,51.57
2007-10-29,52.04
2007-10-30,51.66
2007-10-31,52.36
2007-11-01,51.05
2007-11-02,51.35
2007-11-05,50.76
2007-11-06,51.48
2007-11-07,50.49
2007-11-08,50.83
2007-11-09,49.64
2007-11-12,48.85
2007-11-13,50.29
2007-11-14,50.11
2007-11-15,49.2
2007-11-16,49.39
2007-11-19,48.15
2007-11-20,49.14
2007-11-21,48.14
2007-11-23,49.18
2007-11-26,48.43
2007-11-27,49.25
2007-11-28,50.53
2007-11-29,50.21
2007-11-30,50.39
2007-12-03,50.2
2007-12-04,49.85
