Date,Open,High,Low,Close,Adj Close,Volume
"Dec 19, 2025",623.98,628.13,623.86,627.56,625.79,10487000
"Dec 18, 2025",623.05,625.94,620.57,622.01,620.25,37062400
"Dec 17, 2025",625.19,625.64,617.16,617.35,615.61,21356900
"Dec 16, 2025",624.55,626.22,620.65,624.21,622.45,15819600
"Dec 15, 2025",630.56,630.56,624.57,625.96,624.19,11337200
"Dec 12, 2025",632.8,633.43,624.48,626.87,625.1,8534700
"Dec 11, 2025",630,633.87,627.27,633.71,631.92,33921000
"Dec 10, 2025",627.63,633.51,626.47,632.16,630.38,22457400
"Dec 9, 2025",628.18,630.21,627.66,628.1,626.33,12849000
"Dec 8, 2025",631.36,631.47,626.7,628.61,626.84,6876700
"Dec 5, 2025",630.3,632.98,629.48,630.48,628.7,5693100
"Dec 4, 2025",630.13,630.18,626.48,629.3,627.52,5147700
"Dec 3, 2025",625.77,629.78,624.95,628.77,627,6338400
"Dec 2, 2025",627.01,628.77,624.62,626.58,624.81,5280600
"Dec 1, 2025",624.17,628.01,624.1,625.52,623.75,9191600
"Nov 28, 2025",626.03,628.63,625.71,628.41,626.64,2953200
"Nov 26, 2025",623.06,626.81,622.26,624.95,623.19,5323200
"Nov 25, 2025",614.78,621.75,610.99,620.66,618.91,7389500
"Nov 24, 2025",609.28,616.09,608.31,614.94,613.2,6242700
"Nov 21, 2025",602.25,611.01,598.38,605.93,604.22,9821400
"Nov 20, 2025",618.72,621.13,599.36,599.96,598.27,13985000
"Nov 19, 2025",607.52,613.57,605.67,609.2,607.48,7449400
"Nov 18, 2025",608.72,611.51,603,607,605.29,8542600
"Nov 17, 2025",615.74,619.45,608.81,612.04,610.31,8902500
"Nov 14, 2025",611.75,621.22,609.83,617.83,616.09,9681700
"Nov 13, 2025",625.67,626.02,616.51,617.99,616.25,13065800
"Nov 12, 2025",629.65,629.77,626.1,628.22,626.45,6090200
"Nov 11, 2025",625.16,628.49,624.07,627.91,626.14,5639200
"Nov 10, 2025",622.69,627.21,620.66,626.47,624.7,8425000
"Nov 7, 2025",614.09,617.02,607.92,616.89,615.15,7571300
"Nov 6, 2025",621.96,622.79,614.82,616.24,614.5,7099400
"Nov 5, 2025",620.59,626,619.83,622.86,621.1,10323100
"Nov 4, 2025",621.65,625.17,620.2,620.99,619.24,8390500
"Nov 3, 2025",630.42,630.54,625.16,628.27,626.5,5568100
"Oct 31, 2025",629.84,629.94,624.5,627.04,625.27,7058600
"Oct 30, 2025",628.81,630.63,625.1,625.24,623.48,6243300
"Oct 29, 2025",633.21,634.13,627.87,631.95,630.17,6104500
"Oct 28, 2025",631.71,633.39,629.64,631.69,629.91,5625600
"Oct 27, 2025",627.74,630.29,627.16,630,628.22,7804300
"Oct 24, 2025",621.92,623.79,621.21,622.55,620.79,5694900
"Oct 23, 2025",614.25,618.47,613.99,617.44,615.7,5851800
"Oct 22, 2025",617.83,617.83,609.83,613.97,612.24,6961600
"Oct 21, 2025",617.33,618.74,615.98,617.09,615.35,4216200
"Oct 20, 2025",613.51,618.01,613.51,617.17,615.43,4086200
"Oct 17, 2025",606.34,612.02,605.1,610.76,609.04,6911000
"Oct 16, 2025",613.11,614.8,604.14,607.39,605.68,7594800
"Oct 15, 2025",613.07,616.21,605.82,611.43,609.7,6504900
"Oct 14, 2025",604.2,612.14,600.51,608.75,607.03,7493500
"Oct 13, 2025",607.37,611.03,606.58,609.61,607.89,6968400
"Oct 10, 2025",617.99,619.6,600.23,600.51,598.82,13664200
"Oct 9, 2025",619.23,619.59,615.28,617.1,615.36,5898500
"Oct 8, 2025",616.22,618.9,615.46,618.77,617.02,5035200
"Oct 7, 2025",618.3,618.74,613.82,615.2,613.46,7466300
"Oct 6, 2025",617.46,618.28,615.48,617.4,615.66,6056400
"Oct 3, 2025",615.95,618.42,614.29,615.3,613.56,7210700
"Oct 2, 2025",616.41,616.48,613.02,615.25,613.51,7139500
"Oct 1, 2025",609.7,615.39,609.57,614.57,612.84,10020000
"Sep 30, 2025",609.43,612.86,608.27,612.38,610.65,6515700
"Sep 29, 2025",1.74 Dividend,1.74 Dividend,1.74 Dividend,1.74 Dividend,1.74 Dividend,1.74 Dividend
"Sep 29, 2025",610.79,611.68,608.48,610.13,608.41,5658800
"Sep 26, 2025",608.03,610.7,606.57,610.16,606.7,6438600
"Sep 25, 2025",606.62,607.93,603.35,606.59,603.15,6965700
"Sep 24, 2025",612.63,612.74,608.19,609.5,606.05,23787300
"Sep 23, 2025",614.71,615.26,610.34,611.54,608.08,10753000
"Sep 22, 2025",610.52,615.22,610.51,614.76,611.28,11583800
"Sep 19, 2025",610.62,612.67,608.85,611.78,608.31,6065700
"Sep 18, 2025",608.55,611.31,607.07,608.94,605.49,11057500
"Sep 17, 2025",606.84,608.33,601.55,606.09,602.66,11613600
"Sep 16, 2025",608.16,608.42,606.06,606.79,603.35,6393200
"Sep 15, 2025",606.47,607.77,606.2,607.59,604.15,7710700
"Sep 12, 2025",604.59,605.98,603.95,604.44,601.02,8130500
"Sep 11, 2025",601.43,605.23,600.89,604.57,601.14,9109700
"Sep 10, 2025",600.92,601.75,598.16,599.68,596.28,21641100
"Sep 9, 2025",596.61,598.37,595.01,597.95,594.56,7844800
"Sep 8, 2025",596.31,597.41,595.03,596.5,593.12,9472200
